Daihatsu,Honda,Suzuki,Mitsubishi,Manual,4 Pintu,5 Pintu,Luar Jabodetabek,2014-2018,2019-2023,CC,Harga
0,1,0,0,1,0,1,0,0,1,996,188000000
0,1,0,0,1,0,1,0,0,1,996,190000000
0,1,0,0,0,0,1,0,0,1,996,215000000
0,1,0,0,0,0,1,1,0,1,996,220000000
0,1,0,0,0,0,1,0,0,1,996,222000000
0,1,0,0,0,0,1,1,0,1,996,227000000
0,1,0,0,0,0,1,0,0,1,996,230000000
0,0,0,0,0,0,1,1,0,1,996,230000000
0,1,0,0,0,0,1,0,0,1,996,231000000
0,1,0,0,0,0,1,0,0,1,996,231000000
0,1,0,0,0,0,1,0,0,1,996,215000000
0,1,0,0,0,0,1,0,0,1,996,220000000
0,1,0,0,0,0,1,0,0,1,996,250000000
1,0,0,0,1,0,1,0,1,0,998,87000000
0,0,1,0,0,0,1,1,1,0,998,97000000
0,0,1,0,1,0,1,1,1,0,998,103000000
0,0,0,0,0,0,1,0,1,0,998,87000000
1,0,0,0,0,0,1,1,1,0,998,87000000
1,0,0,0,1,0,1,1,1,0,998,89000000
1,0,0,0,1,0,1,1,1,0,998,90000000
1,0,0,0,1,0,1,1,1,0,998,90000000
1,0,0,0,0,0,1,0,1,0,998,93000000
1,0,0,0,1,0,1,0,1,0,998,96000000
1,0,0,0,1,0,1,0,1,0,998,97000000
1,0,0,0,1,0,1,0,1,0,998,97000000
1,0,0,0,1,0,1,0,1,0,998,98000000
0,0,0,0,0,0,1,1,1,0,998,99000000
0,0,0,0,1,0,1,1,1,0,998,105000000
1,0,0,0,1,0,1,1,1,0,998,83000000
0,0,0,0,0,0,1,1,1,0,998,92000000
0,0,0,0,1,0,1,1,1,0,998,96000000
1,0,0,0,1,0,1,1,1,0,998,98000000
0,0,0,0,1,0,1,0,1,0,998,99000000
0,0,0,0,1,0,1,0,1,0,998,101000000
1,0,0,0,1,0,1,1,1,0,998,109000000
0,0,1,0,1,0,1,1,0,0,998,102000000
0,0,0,0,1,0,1,0,0,1,998,99000000
0,1,0,0,1,0,1,1,0,1,998,106000000
0,1,0,0,1,0,1,0,0,1,998,112000000
